2026-08-04 01:36:03 | Vale Tempestuoso (Desperto) | estimado=60.0min | real=37.6min | folga=22.4min (37%) | multiplicador=20
2026-08-04 03:03:57 | Torre dos Mortos 3SS (Parte 2) | estimado=100.0min | real=87.8min | folga=12.2min (12%) | multiplicador=20
2026-08-04 04:25:19 | Templo Esquecido 2SS (Desperto) | estimado=100.0min | real=81.3min | folga=18.7min (19%) | multiplicador=20
2026-08-04 05:56:02 | Torre dos Mortos 3SS | estimado=100.0min | real=90.7min | folga=9.3min (9%) | multiplicador=20
2026-08-04 07:38:23 | Altar de Siena 2SS | estimado=100.0min | real=2.2min | folga=97.8min (98%) | multiplicador=20
2026-08-04 09:48:04 | Crista Ilusória | estimado=100.0min | real=29.6min | folga=70.4min (70%) | multiplicador=20
2026-08-04 11:27:56 | Castelo das Ilusões (Apócrifos) | estimado=100.0min | real=32.0min | folga=68.0min (68%) | multiplicador=20
2026-08-04 12:03:22 | Salão Radiante do Castelo (Apócrifos) | estimado=100.0min | real=35.4min | folga=64.6min (65%) | multiplicador=20
2026-08-04 13:30:12 | Morada das Chamas Infernais(Desperto) | estimado=40.0min | real=35.8min | folga=4.2min (10%) | multiplicador=20
2026-08-04 13:32:20 | Locomotiva Fantasma(Desperto) | estimado=40.0min | real=2.1min | folga=37.9min (95%) | multiplicador=20
2026-08-04 13:34:27 | Catacumba Gélida(Desperto) | estimado=40.0min | real=2.1min | folga=37.9min (95%) | multiplicador=20
2026-08-04 13:36:35 | Caverna do Pânico(Desperto) | estimado=40.0min | real=2.1min | folga=37.9min (95%) | multiplicador=20
2026-08-04 14:21:06 | Locomotiva Fantasma(Desperto) | estimado=40.0min | real=3.3min | folga=36.7min (92%) | multiplicador=20
2026-08-04 14:36:00 | Catacumba Gélida(Desperto) | estimado=40.0min | real=14.8min | folga=25.2min (63%) | multiplicador=20
2026-08-04 15:42:51 | Pandemônio | estimado=80.0min | real=66.8min | folga=13.2min (17%) | multiplicador=20
2026-08-04 17:45:09 | Ilha Proibida | estimado=100.0min | real=2.1min | folga=97.9min (98%) | multiplicador=20
2026-08-04 18:36:05 | Caverna do Pânico(Desperto) | estimado=40.0min | real=12.9min | folga=27.1min (68%) | multiplicador=20
2026-08-04 19:49:12 | Ilha Proibida | estimado=100.0min | real=13.0min | folga=87.0min (87%) | multiplicador=20
2026-08-04 19:51:47 | Castelo das Ilusões | estimado=60.0min | real=2.5min | folga=57.5min (96%) | multiplicador=20
2026-08-05 01:15:43 | Morada das Chamas Infernais(Desperto) | estimado=40.0min | real=23.1min | folga=16.9min (42%) | multiplicador=20
2026-08-05 01:42:24 | Caverna do Pânico(Desperto) | estimado=40.0min | real=26.6min | folga=13.4min (33%) | multiplicador=20
2026-08-05 02:16:38 | Locomotiva Fantasma(Desperto) | estimado=40.0min | real=34.2min | folga=5.8min (15%) | multiplicador=20
2026-08-05 02:30:40 | Catacumba Gélida(Desperto) | estimado=40.0min | real=14.0min | folga=26.0min (65%) | multiplicador=20
2026-08-05 04:01:27 | Pandemônio | estimado=100.0min | real=90.7min | folga=9.3min (9%) | multiplicador=20
2026-08-05 04:58:14 | Altar de Siena 1SS | estimado=60.0min | real=56.7min | folga=3.3min (5%) | multiplicador=20
2026-08-05 06:38:09 | Ilha Proibida | estimado=100.0min | real=99.9min | folga=0.1min (0%) | multiplicador=20
2026-08-05 07:05:15 | Templo Esquecido 1SS | estimado=40.0min | real=27.1min | folga=12.9min (32%) | multiplicador=20
2026-08-05 08:11:16 | Castelo das Ilusões | estimado=60.0min | real=25.9min | folga=34.1min (57%) | multiplicador=20
2026-08-05 23:03:32 | Vale Tempestuoso (Desperto) | estimado=6.0min | real=3.4min | folga=2.6min (43%) | multiplicador=2
2026-08-06 08:43:21 | Templo Esquecido 2SS (Desperto) | estimado=100.0min | real=13.0min | folga=87.0min (87%) | multiplicador=20
2026-08-06 08:46:46 | Torre dos Mortos 3SS (Parte 2) | estimado=110.0min | real=3.4min | folga=106.6min (97%) | multiplicador=20
2026-08-06 09:26:47 | Crista Ilusória | estimado=50.0min | real=40.0min | folga=10.0min (20%) | multiplicador=20
2026-08-06 09:28:54 | Posto Avançado de Máquinas | estimado=100.0min | real=2.1min | folga=97.9min (98%) | multiplicador=20
2026-08-06 09:31:02 | Vale Tempestuoso (Desperto) | estimado=6.0min | real=2.1min | folga=3.9min (66%) | multiplicador=2
2026-08-06 14:27:54 | Templo Esquecido 2SS (Desperto) | estimado=45.0min | real=38.2min | folga=6.8min (15%) | multiplicador=9
2026-08-06 15:46:14 | Altar de Siena 2SS | estimado=90.0min | real=51.3min | folga=38.7min (43%) | multiplicador=20
2026-08-06 19:33:41 | Castelo das Ilusões | estimado=100.0min | real=2.1min | folga=97.9min (98%) | multiplicador=20
2026-08-06 20:00:29 | Castelo das Ilusões (Apócrifos) | estimado=100.0min | real=25.8min | folga=74.2min (74%) | multiplicador=20
2026-08-06 22:38:07 | Morada das Chamas Infernais(Desperto) | estimado=26.0min | real=21.7min | folga=4.3min (17%) | multiplicador=20
2026-08-06 22:52:44 | Catacumba Gélida(Desperto) | estimado=26.0min | real=14.6min | folga=11.4min (44%) | multiplicador=20
2026-08-06 23:26:07 | Locomotiva Fantasma(Desperto) | estimado=50.0min | real=33.3min | folga=16.7min (33%) | multiplicador=20
2026-08-07 02:10:19 | Crista Ilusória | estimado=37.5min | real=30.1min | folga=7.4min (20%) | multiplicador=15
2026-08-07 03:44:06 | Posto Avançado de Máquinas | estimado=100.0min | real=93.7min | folga=6.3min (6%) | multiplicador=20
2026-08-07 04:34:15 | Altar de Siena 2SS | estimado=90.0min | real=50.1min | folga=39.9min (44%) | multiplicador=20
2026-08-07 05:55:06 | Templo Esquecido 2SS | estimado=70.0min | real=35.7min | folga=34.3min (49%) | multiplicador=20
2026-08-07 09:27:17 | Torre dos Mortos 3SS (Parte 2) | estimado=110.0min | real=85.7min | folga=24.3min (22%) | multiplicador=20
2026-08-07 11:40:12 | Crista Ilusória | estimado=46.0min | real=3.4min | folga=42.6min (93%) | multiplicador=20
2026-08-07 11:42:20 | Vale Tempestuoso (Desperto) | estimado=34.0min | real=2.1min | folga=31.9min (94%) | multiplicador=20
2026-08-07 12:14:49 | Salão Radiante do Castelo (Apócrifos) | estimado=40.0min | real=4.4min | folga=35.6min (89%) | multiplicador=20
2026-08-07 13:40:57 | Crista Ilusória | estimado=46.0min | real=40.8min | folga=5.2min (11%) | multiplicador=20
2026-08-07 21:44:41 | Castelo das Ilusões | estimado=60.0min | real=8.2min | folga=51.8min (86%) | multiplicador=20
2026-08-08 00:30:50 | Morada das Chamas Infernais(Desperto) | estimado=26.0min | real=23.5min | folga=2.5min (10%) | multiplicador=20
2026-08-08 01:00:25 | Caverna do Pânico(Desperto) | estimado=50.0min | real=29.5min | folga=20.5min (41%) | multiplicador=20
2026-08-08 01:38:20 | Locomotiva Fantasma(Desperto) | estimado=40.0min | real=37.9min | folga=2.1min (5%) | multiplicador=20
2026-08-08 01:41:47 | Catacumba Gélida(Desperto) | estimado=26.0min | real=3.4min | folga=22.6min (87%) | multiplicador=20
2026-08-08 01:43:55 | Pandemônio | estimado=80.0min | real=2.1min | folga=77.9min (97%) | multiplicador=20
2026-08-08 02:56:21 | Castelo das Ilusões | estimado=60.0min | real=12.3min | folga=47.7min (80%) | multiplicador=20
2026-08-08 04:43:09 | Templo Esquecido 1SS | estimado=40.0min | real=26.7min | folga=13.3min (33%) | multiplicador=20
2026-08-08 04:45:16 | Cidadela Vulcânica | estimado=40.0min | real=2.1min | folga=37.9min (95%) | multiplicador=20
2026-08-08 08:55:35 | Pandemônio | estimado=40.0min | real=30.8min | folga=9.2min (23%) | multiplicador=10
2026-08-08 10:18:45 | Templo Esquecido 1SS | estimado=40.0min | real=23.1min | folga=16.9min (42%) | multiplicador=20
2026-08-08 10:57:25 | Cidadela Vulcânica | estimado=40.0min | real=38.6min | folga=1.4min (4%) | multiplicador=20
2026-08-08 14:21:59 | Crista Ilusória | estimado=30.0min | real=4.0min | folga=26.0min (87%) | multiplicador=20
2026-08-08 15:46:40 | Templo Esquecido 2SS (Desperto) | estimado=100.0min | real=84.6min | folga=15.4min (15%) | multiplicador=20
2026-08-08 17:30:09 | Altar de Siena 2SS | estimado=90.0min | real=33.3min | folga=56.7min (63%) | multiplicador=20
2026-08-10 00:55:45 | Morada das Chamas Infernais(Desperto) | estimado=30.6min | real=21.6min | folga=8.9min (29%) | multiplicador=18
2026-08-10 00:55:52 | Caverna do Pânico(Desperto) | estimado=50.0min | real=0.1min | folga=49.9min (100%) | multiplicador=20
2026-08-10 01:23:53 | Locomotiva Fantasma(Desperto) | estimado=40.0min | real=27.9min | folga=12.1min (30%) | multiplicador=20
2026-08-10 01:24:00 | Catacumba Gélida(Desperto) | estimado=26.0min | real=0.1min | folga=25.9min (100%) | multiplicador=20
2026-08-10 01:25:25 | Ilha Proibida | estimado=80.0min | real=1.3min | folga=78.7min (98%) | multiplicador=20
2026-08-10 01:25:32 | Altar de Siena 1SS | estimado=60.0min | real=0.1min | folga=59.9min (100%) | multiplicador=20
2026-08-10 02:10:13 | Locomotiva Fantasma(Desperto) | estimado=40.0min | real=32.7min | folga=7.3min (18%) | multiplicador=20
2026-08-10 02:10:20 | Pandemônio | estimado=80.0min | real=0.1min | folga=79.9min (100%) | multiplicador=20
2026-08-10 03:23:13 | Castelo das Ilusões | estimado=60.0min | real=21.7min | folga=38.3min (64%) | multiplicador=20
2026-08-10 03:23:25 | Ilha Proibida | estimado=80.0min | real=0.1min | folga=79.9min (100%) | multiplicador=20
2026-08-10 03:23:32 | Templo Esquecido 1SS | estimado=40.0min | real=0.1min | folga=39.9min (100%) | multiplicador=20
2026-08-10 03:23:40 | Torre Gélida dos Mortos 1SS | estimado=40.0min | real=0.1min | folga=39.9min (100%) | multiplicador=20
2026-08-10 12:22:12 | Templo Esquecido 1SS | estimado=40.0min | real=2.4min | folga=37.6min (94%) | multiplicador=20
2026-08-10 12:22:19 | Cidadela Vulcânica | estimado=40.0min | real=0.1min | folga=39.9min (100%) | multiplicador=20
2026-08-10 21:11:24 | Posto Avançado de Máquinas | estimado=5.0min | real=0.3min | folga=4.7min (94%) | multiplicador=1
2026-08-10 21:11:32 | Templo Esquecido 2SS | estimado=70.0min | real=0.1min | folga=69.9min (100%) | multiplicador=20
2026-08-10 21:11:56 | Posto Avançado de Máquinas | estimado=5.0min | real=0.1min | folga=4.9min (97%) | multiplicador=1
2026-08-10 21:12:04 | Templo Esquecido 2SS | estimado=70.0min | real=0.1min | folga=69.9min (100%) | multiplicador=20
2026-08-10 21:13:01 | Templo Esquecido 1SS | estimado=2.0min | real=0.1min | folga=1.9min (97%) | multiplicador=1
2026-08-10 21:20:12 | Templo Esquecido 1SS | estimado=2.0min | real=1.4min | folga=0.6min (32%) | multiplicador=1
2026-08-10 21:23:31 | Templo Esquecido 1SS | estimado=2.0min | real=1.4min | folga=0.6min (32%) | multiplicador=1
2026-08-10 22:07:14 | Cidadela Vulcânica | estimado=5.0min | real=2.4min | folga=2.6min (52%) | multiplicador=1
